"Governorate","district","psu","Location.Name","popgroup","pop","stratum"
"Duhok","duhok",25898,"Avrike","idp",210,"duhokidp"
"Duhok","sumail",8044,"Bajit Kandala","idp",87,"sumailidp"
"Duhok","sumail",24596,"Tanahi","idp",223,"sumailidp"
"Duhok","sumail",27125,"Old Qasr Yazddin","idp",156,"sumailidp"
"Duhok","sumail",24800,"Avro City","idp",1042,"sumailidp"
"Duhok","sumail",8873,"Misereek","idp",936,"sumailidp"
"Duhok","sumail",29614,"Kar City","idp",148,"sumailidp"
"Duhok","sumail",7989,"Seje","idp",498,"sumailidp"
"Duhok","sumail",25622,"Moaskar Domiz","idp",364,"sumailidp"
"Duhok","sumail",8369,"Shariya","idp",3930,"sumailidp"
"Duhok","sumail",8800,"Kherava","idp",280,"sumailidp"
"Duhok","sumail",27124,"New Zinya","idp",416,"sumailidp"
"Duhok","zakho",32029,"Rkawa Sector","idp",175,"zakhoidp"
"Duhok","zakho",32033,"Kochka Honari","idp",860,"zakhoidp"
"Duhok","zakho",32030,"Shabaniya Sector","idp",765,"zakhoidp"
"Duhok","zakho",32024,"Ashe Chami Sector","idp",371,"zakhoidp"
"Duhok","zakho",32028,"Khrababka Sector","idp",811,"zakhoidp"
"Duhok","zakho",32032,"Firqa Sector","idp",859,"zakhoidp"
"Duhok","zakho",32027,"Bedar Sector","idp",1166,"zakhoidp"
"Duhok","zakho",32031,"Abasiya Sector","idp",963,"zakhoidp"
"Duhok","zakho",25992,"Diraboon","idp",589,"zakhoidp"
"Duhok","zakho",8620,"Qarawla","idp",16,"zakhoidp"
"Erbil","erbil",20980,"Ainkawa(108)","idp",719,"erbilidp"
"Erbil","erbil",13685,"Andazyaran","idp",408,"erbilidp"
"Erbil","erbil",25973,"Harem","idp",91,"erbilidp"
"Erbil","erbil",24308,"Zaiton Collective","idp",1580,"erbilidp"
"Erbil","erbil",12826,"Mamzawa","idp",1481,"erbilidp"
"Erbil","erbil",25727,"Kani Qarzhala","idp",203,"erbilidp"
"Erbil","erbil",33883,"Nazimawa","idp",387,"erbilidp"
